ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
RSG,"Republic Services, Inc.",NYSE,common_stock,False,1998-07-01,Industrials,Waste Management,US,307664087.00193244,0.415,66867712669.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,217.34,2026-07-02,66867712669.0,355729098.769375,True
GWW,"W.W. Grainger, Inc.",NYSE,common_stock,False,1973-02-21,Industrials,Industrial - Distribution,US,47213119.00028295,1.052,63406274555.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,1342.98,2026-07-02,63406274555.0,392465569.428125,True
FIX,"Comfort Systems USA, Inc.",NYSE,common_stock,False,1997-06-27,Industrials,Engineering & Construction,US,35202400.0,1.67,61297939120.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,1741.3,2026-07-02,61297939120.0,848323512.1203125,True
DAL,"Delta Air Lines, Inc.",NYSE,common_stock,False,2007-05-03,Industrials,"Airlines, Airports & Air Services",US,656994000.0,1.313,60936193500.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,92.75,2026-07-02,60936193500.0,605673125.9340625,True
CIEN,Ciena Corporation,NYSE,common_stock,False,1997-02-07,Technology,Communication Equipment,US,141552921.99971595,1.244,59800447428.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,422.46,2026-07-02,59800447428.0,1420385197.4546876,True
TGT,Target Corporation,NYSE,common_stock,False,1967-10-18,Consumer Defensive,Discount Stores,US,454191000.00000006,0.991,59135668200.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,130.2,2026-07-02,59135668200.0,644092178.256875,True
CARR,Carrier Global Corporation,NYSE,common_stock,False,2020-03-19,Industrials,Industrial - Machinery,US,830580423.005566,1.337,58198770240.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,70.07,2026-07-02,58198770240.00001,470699810.748125,True
COR,"Cencora, Inc.",NYSE,common_stock,False,1995-04-04,Healthcare,Medical - Distribution,US,194561060.00134903,0.588,57689299901.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,296.51,2026-07-02,57689299901.0,526034949.211875,True
CTVA,"Corteva, Inc.",NYSE,common_stock,False,2019-05-24,Basic Materials,Agricultural Inputs,US,668820000.0,0.572,57384756000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,85.8,2026-07-02,57384756000.0,287201682.224375,True
BDX,"Becton, Dickinson and Company",NYSE,common_stock,False,1973-02-21,Healthcare,Medical - Instruments & Supplies,US,362295100.9994939,0.278,57271609566.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,158.08,2026-07-02,57271609566.0,472107217.189375,True
LHX,"L3Harris Technologies, Inc.",NYSE,common_stock,False,1981-12-31,Industrials,Aerospace & Defense,US,186295000.0,0.746,56274130650.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,302.07,2026-07-02,56274130650.0,456604856.436875,True
CAH,"Cardinal Health, Inc.",NYSE,common_stock,False,1983-08-04,Healthcare,Medical - Distribution,US,234206000.0,0.526,55961181640.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,238.94,2026-07-02,55961181640.0,470268026.806875,True
TRGP,Targa Resources Corp.,NYSE,common_stock,False,2010-12-07,Energy,Oil & Gas Midstream,US,214644000.0,0.71,55567038720.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,258.88,2026-07-02,55567038720.0,320784003.7690625,True
HPE,Hewlett Packard Enterprise Company,NYSE,common_stock,False,2015-10-19,Technology,Computer Hardware,US,1324203520.990051,1.448,54570427100.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,41.21,2026-07-02,54570427100.00001,954438507.678125,True
EW,Edwards Lifesciences Corporation,NYSE,common_stock,False,2000-03-27,Healthcare,Medical - Devices,US,575800000.0,0.866,54338246000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,94.37,2026-07-02,54338246000.0,462788452.484375,True
AME,"AMETEK, Inc.",NYSE,common_stock,False,1984-07-19,Industrials,Electrical Equipment & Parts,US,229203000.0,1.004,53775607860.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,234.62,2026-07-02,53775607860.0,295239404.64468753,True
KEYS,"Keysight Technologies, Inc.",NYSE,common_stock,False,2014-10-20,Technology,"Hardware, Equipment & Parts",US,170895367.99847063,1.221,53637220200.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,313.86,2026-07-02,53637220199.99999,541755663.6196876,True
ROK,"Rockwell Automation, Inc.",NYSE,common_stock,False,1981-12-31,Industrials,Industrial - Machinery,US,111274000.0,1.561,52487945800.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,471.7,2026-07-02,52487945800.0,376808811.3571875,True
AZO,"AutoZone, Inc.",NYSE,common_stock,False,1991-04-02,Consumer Cyclical,Specialty Retail,US,16325399.000088627,0.349,51576506553.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,3159.28,2026-07-02,51576506553.0,1210430452.8890624,True
NUE,Nucor Corporation,NYSE,common_stock,False,1980-03-17,Basic Materials,Steel,US,227741000.0,1.906,50273825750.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,220.75,2026-07-02,50273825750.0,363444177.725625,True
OXY,Occidental Petroleum Corporation,NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Exploration & Production,US,994634701.0018402,0.124,48647583226.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,48.91,2026-07-02,48647583226.0,651287800.9165624,True
HUM,Humana Inc.,NYSE,common_stock,False,1981-12-31,Healthcare,Medical - Healthcare Plans,US,120061500.0,0.771,47634400125.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,396.75,2026-07-02,47634400125.0,478103607.7065625,True
XYZ,"Block, Inc.",NYSE,common_stock,False,2015-11-19,Technology,Software - Infrastructure,US,595180944.0060891,2.552,46918113816.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,78.83,2026-07-02,46918113816.0,435397925.640625,True
